symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-07-02 00:00:00+00:00,2574.38,2576.96,2535.38,2536.79,1058256,2574.38,2576.96,2535.38,2536.79,1058256,0.0,1.0
GOOG,2021-07-06 00:00:00+00:00,2595.42,2597.69,2568.18,2588.99,1067517,2595.42,2597.69,2568.18,2588.99,1067517,0.0,1.0
GOOG,2021-07-07 00:00:00+00:00,2601.55,2612.7983,2595.2,2606.82,834186,2601.55,2612.7983,2595.2,2606.82,834186,0.0,1.0
GOOG,2021-07-08 00:00:00+00:00,2583.54,2600.65,2560.8,2565.0,988975,2583.54,2600.65,2560.8,2565.0,988975,0.0,1.0
GOOG,2021-07-09 00:00:00+00:00,2591.49,2596.99,2578.87,2578.89,755466,2591.49,2596.99,2578.87,2578.89,755466,0.0,1.0
GOOG,2021-07-12 00:00:00+00:00,2611.28,2615.4,2592.0,2596.67,847546,2611.28,2615.4,2592.0,2596.67,847546,0.0,1.0
GOOG,2021-07-13 00:00:00+00:00,2619.89,2640.8399,2612.74,2617.63,830898,2619.89,2640.8399,2612.74,2617.63,830898,0.0,1.0
GOOG,2021-07-14 00:00:00+00:00,2641.65,2659.9199,2637.96,2638.03,895927,2641.65,2659.9199,2637.96,2638.03,895927,0.0,1.0
GOOG,2021-07-15 00:00:00+00:00,2625.33,2651.9,2611.96,2650.0,829316,2625.33,2651.9,2611.96,2650.0,829316,0.0,1.0
GOOG,2021-07-16 00:00:00+00:00,2636.91,2643.66,2616.43,2632.82,743059,2636.91,2643.66,2616.43,2632.82,743059,0.0,1.0
GOOG,2021-07-19 00:00:00+00:00,2585.08,2624.94,2570.74,2623.11,1285466,2585.08,2624.94,2570.74,2623.11,1285466,0.0,1.0
GOOG,2021-07-20 00:00:00+00:00,2622.03,2640.0271,2583.7675,2600.08,954156,2622.03,2640.0271,2583.7675,2600.08,954156,0.0,1.0
GOOG,2021-07-21 00:00:00+00:00,2652.01,2652.345,2612.03,2615.74,737082,2652.01,2652.345,2612.03,2615.74,737082,0.0,1.0
